Time,HDG,Pitch,Roll
7:26:12,122.07,0.24,0.24
7:26:13,122.21,0.15,0.07
7:26:14,122.28,0.14,-0.07
7:26:15,122.30,0.12,-0.17
7:26:16,122.27,0.10,-0.27
7:26:17,122.22,0.04,-0.28
7:26:18,122.20,-0.02,-0.20
7:26:19,122.21,-0.13,-0.06
7:26:20,122.26,-0.20,0.08
7:26:21,122.31,-0.19,0.26
7:26:22,122.36,-0.11,0.42
7:26:23,122.41,-0.01,0.55
7:26:24,122.46,0.08,0.58
7:26:25,122.47,0.11,0.55
7:26:26,122.46,0.06,0.41
7:26:27,122.43,-0.05,0.20
7:26:28,122.35,-0.11,-0.00
7:26:29,122.29,-0.18,-0.15
7:26:30,122.22,-0.18,-0.22
7:26:31,122.20,-0.10,-0.20
7:26:32,122.19,0.00,-0.10
7:26:33,122.22,0.13,0.03
7:26:34,122.29,0.29,0.13
7:26:35,122.34,0.35,0.24
7:26:36,122.38,0.37,0.28
7:26:37,122.44,0.34,0.32
7:26:38,122.50,0.21,0.33
7:26:39,122.56,0.09,0.34
7:26:40,122.58,-0.07,0.25
7:26:41,122.57,-0.23,0.13
7:26:42,122.54,-0.30,-0.05
7:26:43,122.53,-0.34,-0.15
7:26:44,122.53,-0.35,-0.24
7:26:45,122.53,-0.28,-0.14
7:26:46,122.53,-0.18,-0.00
7:26:47,122.53,-0.08,0.14
7:26:48,122.51,0.04,0.34
7:26:49,122.47,0.16,0.47
7:26:50,122.42,0.22,0.54
7:26:51,122.38,0.23,0.52
7:26:52,122.37,0.19,0.41
7:26:53,122.38,0.13,0.21
7:26:54,122.43,0.07,0.05
7:26:55,122.51,0.04,-0.16
7:26:56,122.60,0.07,-0.32
7:26:57,122.66,0.14,-0.44
7:26:58,122.69,0.20,-0.42
7:26:59,122.68,0.23,-0.25
7:27:00,122.65,0.22,0.02
7:27:01,122.60,0.09,0.33
7:27:02,122.58,-0.09,0.59
7:27:03,122.57,-0.27,0.85
7:27:04,122.54,-0.42,0.93
7:27:05,122.52,-0.52,0.81
7:27:06,122.46,-0.51,0.51
7:27:07,122.45,-0.34,0.13
7:27:08,122.44,-0.17,-0.25
7:27:09,122.43,-0.00,-0.63
7:27:10,122.43,0.22,-0.78
7:27:11,122.43,0.39,-0.71
7:27:12,122.42,0.53,-0.49
7:27:13,122.44,0.43,-0.19
7:27:14,122.46,0.33,0.12
7:27:15,122.49,0.22,0.42
7:27:16,122.51,0.12,0.72
7:27:17,122.53,0.02,1.03
7:27:18,122.57,-0.20,0.82
7:27:19,122.60,-0.38,0.52
7:27:20,122.55,-0.40,0.08
7:27:21,122.51,-0.42,-0.36
7:27:22,122.48,-0.33,-0.54
7:27:23,122.43,-0.23,-0.58
7:27:24,122.39,-0.11,-0.58
7:27:25,122.40,-0.01,-0.38
7:27:26,122.43,0.03,-0.11
7:27:27,122.45,0.08,0.21
7:27:28,122.51,0.15,0.50
7:27:29,122.51,0.21,0.73
7:27:30,122.50,0.23,0.83
7:27:31,122.47,0.22,0.81
7:27:32,122.44,0.20,0.65
7:27:33,122.40,0.16,0.37
7:27:34,122.37,0.12,0.08
7:27:35,122.33,0.07,-0.22
7:27:36,122.33,0.04,-0.45
7:27:37,122.36,0.02,-0.50
7:27:38,122.40,-0.04,-0.47
7:27:39,122.42,-0.04,-0.31
7:27:40,122.47,-0.06,-0.06
7:27:41,122.48,-0.08,0.18
7:27:42,122.46,-0.11,0.35
7:27:43,122.44,-0.12,0.47
7:27:44,122.40,-0.16,0.52
7:27:45,122.35,-0.14,0.53
7:27:46,122.31,-0.15,0.48
7:27:47,122.27,-0.14,0.40
7:27:48,122.25,-0.09,0.27
7:27:49,122.24,-0.02,0.14
7:27:50,122.22,0.10,-0.01
7:27:51,122.21,0.22,-0.12
7:27:52,122.20,0.29,-0.19
7:27:53,122.21,0.34,-0.18
7:27:54,122.26,0.34,-0.13
7:27:55,122.30,0.29,-0.05
7:27:56,122.32,0.19,0.03
7:27:57,122.32,0.10,0.12
7:27:58,122.31,-0.02,0.21
7:27:59,122.31,-0.10,0.26
7:28:00,122.30,-0.17,0.29
7:28:01,122.29,-0.21,0.29
