Time,HDG,Pitch,Roll
16:27:44,194.03,1.25,-2.24
16:27:45,194.04,1.27,-2.19
16:27:46,194.03,1.26,-2.24
16:27:47,194.04,1.29,-2.22
16:27:48,194.03,1.25,-2.22
16:27:49,194.03,1.23,-2.27
16:27:50,194.04,1.26,-2.24
16:27:51,194.04,1.27,-2.22
16:27:52,194.03,1.26,-2.24
16:27:53,194.03,1.27,-2.22
16:27:54,194.03,1.26,-2.23
16:27:55,194.03,1.27,-2.23
16:27:56,194.03,1.27,-2.23
16:27:57,194.04,1.26,-2.24
16:27:58,194.03,1.26,-2.23
16:27:59,194.03,1.26,-2.23
16:28:00,194.04,1.28,-2.23
16:28:01,194.03,1.25,-2.24
16:28:02,194.03,1.27,-2.24
16:28:03,194.03,1.25,-2.25
16:28:04,194.03,1.28,-2.22
16:28:05,194.03,1.27,-2.23
16:28:06,194.03,1.28,-2.21
16:28:07,194.04,1.29,-2.21
16:28:08,194.04,1.28,-2.22
16:28:09,194.04,1.29,-2.20
16:28:10,194.03,1.28,-2.22
16:28:11,194.04,1.28,-2.20
16:28:12,194.04,1.28,-2.19
16:28:13,194.04,1.28,-2.20
16:28:14,194.04,1.29,-2.20
16:28:15,194.04,1.29,-2.20
16:28:16,194.04,1.27,-2.20
16:28:17,194.04,1.27,-2.21
16:28:18,194.03,1.27,-2.22
16:28:19,194.04,1.30,-2.19
16:28:20,194.04,1.28,-2.20
16:28:21,194.03,1.28,-2.21
16:28:22,194.04,1.27,-2.22
16:28:23,194.03,1.25,-2.23
16:28:24,194.04,1.25,-2.23
16:28:25,194.04,1.26,-2.23
16:28:26,194.03,1.28,-2.22
16:28:27,194.04,1.29,-2.19
16:28:28,194.04,1.26,-2.23
16:28:29,194.04,1.28,-2.20
16:28:30,194.04,1.27,-2.22
16:28:31,194.04,1.27,-2.22
16:28:32,194.04,1.27,-2.21
16:28:33,194.04,1.27,-2.21
16:28:34,194.04,1.27,-2.21
16:28:35,194.04,1.26,-2.21
16:28:36,194.04,1.28,-2.20
16:28:37,194.04,1.28,-2.21
16:28:38,194.04,1.26,-2.22
16:28:39,194.04,1.28,-2.19
16:28:40,194.04,1.27,-2.18
16:28:41,194.04,1.27,-2.19
16:28:42,194.04,1.28,-2.21
16:28:43,194.03,1.30,-2.18
16:28:44,194.03,1.28,-2.21
16:28:45,194.04,1.28,-2.18
16:28:46,194.04,1.27,-2.20
16:28:47,194.03,1.28,-2.21
16:28:48,194.03,1.29,-2.18
16:28:49,194.03,1.26,-2.20
16:28:50,194.04,1.27,-2.18
16:28:51,194.04,1.27,-2.20
16:28:52,194.04,1.28,-2.18
16:28:53,194.04,1.27,-2.19
16:28:54,194.04,1.29,-2.17
16:28:55,194.04,1.28,-2.19
16:28:56,194.04,1.28,-2.17
16:28:57,194.04,1.26,-2.20
16:28:58,194.04,1.27,-2.19
16:28:59,194.04,1.28,-2.19
16:29:00,194.05,1.29,-2.17
16:29:01,194.05,1.29,-2.18
16:29:02,194.04,1.27,-2.19
16:29:03,194.04,1.28,-2.18
16:29:04,194.04,1.26,-2.18
16:29:05,194.04,1.27,-2.19
16:29:06,194.03,1.26,-2.19
16:29:07,194.04,1.26,-2.19
16:29:08,194.04,1.27,-2.19
16:29:09,194.04,1.26,-2.18
16:29:10,194.04,1.26,-2.19
16:29:11,194.04,1.27,-2.18
16:29:12,194.04,1.26,-2.19
16:29:13,194.04,1.27,-2.17
16:29:14,194.03,1.26,-2.19
16:29:15,194.04,1.27,-2.18
16:29:16,194.03,1.26,-2.20
16:29:17,194.04,1.26,-2.18
16:29:18,194.04,1.26,-2.21
16:29:19,194.03,1.26,-2.20
16:29:20,194.04,1.26,-2.18
16:29:21,194.04,1.28,-2.18
16:29:22,194.04,1.26,-2.19
16:29:23,194.04,1.26,-2.21
16:29:24,194.03,1.26,-2.23
16:29:25,194.04,1.26,-2.22
16:29:26,194.04,1.26,-2.21
16:29:27,194.04,1.27,-2.20
16:29:28,194.04,1.26,-2.22
16:29:29,194.04,1.27,-2.22
16:29:30,194.04,1.28,-2.20
16:29:31,194.04,1.27,-2.20
16:29:32,194.04,1.27,-2.20
16:29:33,194.03,1.28,-2.20
16:29:34,194.03,1.27,-2.21
16:29:35,194.03,1.27,-2.21
16:29:36,194.04,1.29,-2.18
16:29:37,194.03,1.29,-2.20
16:29:38,194.04,1.28,-2.21
16:29:39,194.04,1.28,-2.19
16:29:40,194.03,1.28,-2.19
16:29:41,194.03,1.27,-2.21
16:29:42,194.04,1.31,-2.20
16:29:43,194.03,1.29,-2.20
16:29:44,194.04,1.29,-2.19
16:29:45,194.04,1.29,-2.19
16:29:46,194.03,1.30,-2.20
16:29:47,194.04,1.31,-2.19
16:29:48,194.03,1.31,-2.19
16:29:49,194.04,1.29,-2.19
16:29:50,194.04,1.31,-2.18
16:29:51,194.04,1.31,-2.19
16:29:52,194.04,1.31,-2.18
16:29:53,194.04,1.30,-2.19
16:29:54,194.04,1.31,-2.18
16:29:55,194.04,1.31,-2.16
16:29:56,194.04,1.31,-2.19
16:29:57,194.04,1.32,-2.18
16:29:58,194.04,1.31,-2.17
16:29:59,194.04,1.31,-2.19
16:30:00,194.04,1.33,-2.17
16:30:01,194.04,1.31,-2.18
16:30:02,194.04,1.29,-2.19
16:30:03,194.04,1.30,-2.18
16:30:04,194.03,1.31,-2.19
16:30:05,194.03,1.30,-2.18
16:30:06,194.03,1.29,-2.20
16:30:07,194.03,1.29,-2.18
16:30:08,194.03,1.29,-2.18
16:30:09,194.03,1.31,-2.16
16:30:10,194.03,1.30,-2.20
16:30:11,194.03,1.31,-2.19
16:30:12,194.03,1.30,-2.18
16:30:13,194.03,1.31,-2.17
16:30:14,194.03,1.29,-2.18
