Time,HDG,Pitch,Roll
15:52:57,43.31,-1.49,-2.47
15:52:58,43.31,-1.53,-2.38
15:52:59,43.30,-1.52,-2.46
15:53:00,43.30,-1.54,-2.52
15:53:01,43.29,-1.53,-2.53
15:53:02,43.29,-1.54,-2.51
15:53:03,43.30,-1.53,-2.52
15:53:04,43.30,-1.52,-2.52
15:53:05,43.30,-1.52,-2.50
15:53:06,43.30,-1.52,-2.47
15:53:07,43.30,-1.50,-2.48
15:53:08,43.30,-1.51,-2.50
15:53:09,43.31,-1.51,-2.49
15:53:10,43.31,-1.51,-2.50
15:53:11,43.31,-1.51,-2.47
15:53:12,43.32,-1.51,-2.48
15:53:13,43.32,-1.51,-2.47
15:53:14,43.33,-1.50,-2.47
15:53:15,43.32,-1.50,-2.50
15:53:16,43.32,-1.50,-2.50
15:53:17,43.33,-1.50,-2.52
15:53:18,43.33,-1.50,-2.49
15:53:19,43.33,-1.50,-2.49
15:53:20,43.33,-1.50,-2.48
15:53:21,43.33,-1.50,-2.48
15:53:22,43.34,-1.46,-2.44
15:53:23,43.34,-1.45,-2.45
15:53:24,43.34,-1.45,-2.44
15:53:25,43.34,-1.43,-2.49
15:53:26,43.34,-1.44,-2.49
15:53:27,43.33,-1.44,-2.47
15:53:28,43.33,-1.46,-2.49
15:53:29,43.33,-1.46,-2.46
15:53:30,43.33,-1.46,-2.45
15:53:31,43.33,-1.44,-2.46
15:53:32,43.33,-1.45,-2.47
15:53:33,43.33,-1.45,-2.47
15:53:34,43.32,-1.46,-2.44
15:53:35,43.33,-1.46,-2.47
15:53:36,43.32,-1.47,-2.46
15:53:37,43.31,-1.45,-2.49
15:53:38,43.31,-1.45,-2.49
15:53:39,43.32,-1.45,-2.51
15:53:40,43.32,-1.46,-2.47
15:53:41,43.32,-1.45,-2.50
15:53:42,43.32,-1.45,-2.47
15:53:43,43.31,-1.45,-2.45
15:53:44,43.32,-1.45,-2.48
15:53:45,43.31,-1.44,-2.47
15:53:46,43.31,-1.44,-2.49
15:53:47,43.31,-1.45,-2.50
15:53:48,43.32,-1.44,-2.48
15:53:49,43.32,-1.44,-2.49
15:53:50,43.32,-1.44,-2.48
15:53:51,43.32,-1.44,-2.49
15:53:52,43.32,-1.45,-2.49
15:53:53,43.32,-1.44,-2.50
15:53:54,43.32,-1.45,-2.50
15:53:55,43.33,-1.43,-2.52
15:53:56,43.33,-1.43,-2.53
15:53:57,43.33,-1.44,-2.50
15:53:58,43.33,-1.44,-2.51
15:53:59,43.33,-1.44,-2.50
15:54:00,43.34,-1.44,-2.48
15:54:01,43.33,-1.44,-2.51
15:54:02,43.34,-1.44,-2.50
15:54:03,43.34,-1.44,-2.50
15:54:04,43.33,-1.44,-2.48
15:54:05,43.33,-1.44,-2.54
15:54:06,43.34,-1.45,-2.49
15:54:07,43.34,-1.44,-2.50
15:54:08,43.34,-1.43,-2.50
15:54:09,43.34,-1.43,-2.52
15:54:10,43.34,-1.44,-2.52
15:54:11,43.33,-1.44,-2.53
15:54:12,43.34,-1.43,-2.50
15:54:13,43.34,-1.43,-2.51
15:54:14,43.33,-1.44,-2.51
15:54:15,43.34,-1.44,-2.50
15:54:16,43.33,-1.44,-2.48
15:54:17,43.33,-1.44,-2.54
