time,octans_heading,octans_pitch,octans_roll,hydrins_heading_original,hydrins_pitch_original,hydrins_roll_original,hydrins_heading_corrected,hydrins_pitch_corrected,hydrins_roll_corrected,co_heading,co_pitch,co_roll
2025-08-07 18:02:39,44.94807420918111,0.016623540220308562,0.7497564276820667,45.451,0.283,0.954,44.97748421555327,0.2830000000000129,0.9540000000000004,-0.02941000637216007,-0.2663764597797069,-0.204243572317921
2025-08-07 18:02:40,44.930030911746606,-0.013350425458946366,0.7027841866291135,45.351,0.253,0.894,44.87748421555326,0.25300000000000206,0.894000000000001,0.052546696193360276,-0.2663504254589384,-0.19121581337088855
2025-08-07 18:02:41,44.93498467127846,-0.04535761600139249,0.6647764999770973,45.351,0.223,0.854,44.87748421555327,0.22300000000000395,0.8540000000000003,0.057500455725175925,-0.2683576160013956,-0.189223500022905
2025-08-07 18:02:42,44.947958659416905,-0.06337637633124428,0.6357564748258557,45.451,0.203,0.824,44.97748421555327,0.20299999999999246,0.8239999999999958,-0.029525556136377418,-0.26637637633123745,-0.1882435251741299
2025-08-07 18:02:43,44.950949992081064,-0.06938070306913072,0.6127518573784457,45.451,0.193,0.804,44.977484215553254,0.1930000000000058,0.8040000000000003,-0.026534223472197027,-0.26238070306914096,-0.19124814262156065
2025-08-07 18:02:44,44.941960107112195,-0.06236771065609448,0.5967657275346084,45.451,0.203,0.784,44.97748421555327,0.20299999999999246,0.7840000000000015,-0.03552410844108067,-0.2653677106560792,-0.18723427246538904
2025-08-07 18:02:45,44.929981786624545,-0.04735038996956705,0.5907842126514029,45.351,0.223,0.774,44.87748421555325,0.2229999999999912,0.7739999999999989,0.052497571071285165,-0.27035038996956473,-0.1832157873485869
2025-08-07 18:02:46,44.93000490433295,-0.03135040667043422,0.587784196774298,45.351,0.233,0.774,44.87748421555326,0.23300000000000332,0.7739999999999989,0.05252068877967986,-0.2643504066704452,-0.18621580322570708
2025-08-07 18:02:47,44.93601645355957,-0.02335908366807682,0.5907749387743635,45.351,0.243,0.774,44.87748421555326,0.24300000000000269,0.7740000000000021,0.05853223800630758,-0.26635908366807826,-0.18322506122564164
2025-08-07 18:02:48,44.93601211947494,-0.02635908053737269,0.5847749406547962,45.351,0.233,0.764,44.87748421555327,0.23300000000000332,0.7639999999999996,0.05852790392168572,-0.2593590805373651,-0.17922505934521382
